Date,Open,High,Low,Close,Adj Close
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.405683,117258400
1980-12-15,0.488839,0.488839,0.486607,0.486607,0.384517,43971200
1980-12-16,0.453125,0.453125,0.450893,0.450893,0.356296,26432000
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.365115,21610400
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.375698,18362400
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.398628,12157600
1980-12-22,0.529018,0.531250,0.529018,0.529018,0.418030,9340800
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.435669,11737600
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.458599,12000800
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.500931,13893600
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.507986,23290400
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.495639,17220000
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.481528,8937600
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.486820,5415200
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.476237,8932000
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.455071,11289600
1981-01-07,0.553571,0.553571,0.551339,0.551339,0.435669,13921600
1981-01-08,0.542411,0.542411,0.540179,0.540179,0.426849,9956800
1981-01-09,0.569196,0.571429,0.569196,0.569196,0.449779,5376000
1981-01-12,0.569196,0.569196,0.564732,0.564732,0.446252,5924800
1981-01-13,0.546875,0.546875,0.544643,0.544643,0.430377,5762400,
1981-01-14,0.546875,0.549107,0.546875,0.546875,0.432141,3572800,
1981-01-15,0.558036,0.562500,0.558036,0.558036,0.440960,3516800
1981-01-16,0.555804,0.555804,0.553571,0.553571,0.437432,3348800
1981-01-19,0.587054,0.589286,0.587054,0.587054,0.463890,10393600
1981-01-20,0.571429,0.571429,0.569196,0.569196,0.449779,7520800
1981-01-21,0.580357,0.584821,0.580357,0.580357,0.458599,3976000
1981-01-22,0.587054,0.591518,0.587054,0.587054,0.463890,8887200,
1981-01-23,0.587054,0.589286,0.584821,0.584821,0.462126,2805600
1981-01-26,0.578125,0.578125,0.575893,0.575893,0.455071,6160000
1981-01-27,0.575893,0.575893,0.571429,0.571429,0.451543,5924800,
1981-01-28,0.555804,0.555804,0.553571,0.553571,0.437432,7039200
1981-01-29,0.535714,0.535714,0.533482,0.533482,0.421558,10976000
1981-01-30,0.508929,0.508929,0.504464,0.504464,0.398628,11547200
1981-02-02,0.477679,0.477679,
